REPUBLICANS,,DEMOCRATS,
Trent Kelly,https://trentkelly.house.gov/,Zach Rakneurd,https://www.zachfornorthdakota.com/
Kelly Armstrong,https://www.armstrongnd.com/,Antonia Eliason,https://antonia2020.com/causes-slide/
Alex Mooney,https://www.mooneyforcongress.com/,Bill Keating,http://keatingforcongress.com/
Mike Rogers,http://www.mikerogersforcongress.com/,Dorothy Benford,https://dorothydotbenfordforcongress.rocks/
Tracy Lovvom,https://tracyforcongress.com/,Hilary Turner,https://www.turnerforcongresswv.com/
John Paul Moran,https://johnpaulmoran.com/,Marilyn Strickland,https://stricklandforwashington.com/
Craig Keller,https://www.keller4america.us/,Miriam Berry,https://www.berry2020.net/
Doug Basler,http://dougbasler.com/index.html,James Averhart,https://jamesaverhart.com/
Caroline Colarusso,https://colarussoforcongress.com/,Beth Doglio,https://www.bethdoglio.com/about-beth/
Steven Palazzo,https://palazzo.house.gov/,Stephen Lynch,https://www.stephenflynch.com/
Miriam Berry,https://www.berry2020.net/,Ayanna Pressley,https://ayannapressley.com/
Elizabeth Kreiselmaier,https://cleanupthehouse.com/,Phyllis Harvey-Hall,https://harveyhall2congress.com/
Dan Newhouse,https://www.dannewhouse.com/,James McGovern,https://www.jimmcgovern.com/
Julie Hall,https://hallforcongress.com/,Natalie Cline,https://www.natalieclineforcongress.com/
Jesse Jensen,https://www.jessejensen2020.com/,Pramila Jayapal,https://www.pramilaforcongress.com/
Carol Miller,https://www.electcarolmiller.com/,Lori Trahan,https://loritrahan.com/
David McKinley,https://mckinley.house.gov/,Katherine Clark,https://www.katherineclark.org/
Liz Cheney,https://cheney.house.gov/,Adia Winfrey,https://www.winfrey4congress.com/
Barry Moore,https://barrymooreforcongress.com/,Jake Auchicloss,https://www.jakeforma.com/
Ron Curtis,https://roncurtis808.com/introduction/,Dave Wilson,https://dwb4congress.com/
Michael Guest,https://michaelguest.ms/,Richard Neal,https://www.nealforcongress.com/
Jaime Herrera Buetler,https://www.votejaime.com/,Suzan DelBene,https://www.delbeneforcongress.com/
Gary Palmer,https://palmerforalabama.com/,Seth Moulton,https://sethmoulton.com/
Robert Aderholt,https://aderholtforcongress.org/,Kaiali'i Kahele,https://www.kaikahele.com/
Mo Brooks,https://mobrooksforcongress.com/,Kim Schrier,https://www.drkimschrier.com/
Jerry Carl,https://jerrycarlforcongress.com/,Adam Smith,http://www.electadamsmith.com/
Helen Brady,https://www.giveemhelen.com/,Carolyn Long,https://electlong.com/
Joe Akama,https://www.joeakana.com/,Derek Kilmer,https://derekkilmer.com/
Jeffrey Beeler,https://beeler4congress.org/,Ed Case,https://www.edcase.com/
Timothy Hazelo ,https://www.timhazeloforcongress.com/,Rick Larsen,https://www.ricklarsen.org/
Catchy McMorris Rodgers,https://www.cathyforcongress.com/,Brynne Kennedy,https://brynneforcongress.com/
Dale Mensing,https://www.theflamingarrow.com/,Mike Thompson,https://www.mikethompsonforcongress.com/
Doug LaMalfa,http://douglamalfa.com/,Josh Harder,https://www.harderforcongress.com/
Tamika Hamilton,https://votetamika.org/,Shadid Buttar,https://shahidforchange.us/
Tom McCilntock,https://tommcclintock.com/,Jackie Speier,https://www.jackiespeier.org/
Chris Bish,https://bishforcongress.org/,Eric Swalwell,https://ericswalwell.com/
Jay obernolte,http://electjay.com/,Jim Costa,https://www.jimcosta.com/
Ted Howze,https://tedhowze.com/,Ro Khanna,http://www.rokhanna.com/
Ran Petel,https://petel4congress.com/about-ran,Anna Eshoo,https://annaeshoo4congress.com/
Alison Hayden,https://alison-hayden-for-congress1.constantcontactsites.com/meet-alison,Rishi Kumar,https://rishikumar.com/
Kevin Cookingham,https://cookinghamforcongress.com/,Zoe Lofgren,https://zoelofgren.com/
Ritesh Tandon,https://www.tandonforcongress.com/,Jimmy Panetta,https://www.jimmypanetta.com/
Justin Aguilera,https://www.justinaguilera.com/,TJ Cox,https://tjcoxforcongress.com/
Jeff Gorman,https://jeffforcongress.com/,Phil Arballo,https://philarballo.com/
David Valadao,https://valadaoforcongress.com/,Salud Carbajal,https://www.saludcarbajal.com/
Devin Nunes,https://www.devinnunes.com/,Christy Smith,https://www.christyforcongress.org/
Kevin McCarthy,https://mccarthyforcongress.com/,Julia Brownley,https://juliabrownley.com/
Mike Garcia,https://www.electmikegarcia.com/,Judy Chu,https://www.judychu.org/
Ronda Baldwin-Kennedy,https://rondakennedy.com/,Adam Schiff,https://adamschiff.com/
Johnny Nalbandian,https://www.votejohnny.us/,Tony Cardenas,http://www.tonycardenasforcongress.com/